"inipop","PrQExt","minNmd","minNmlo","minMmup"
30000,0.0453,1433.78583455503,359.751650856277,2803.61558784506
29995,0.0464,1464.59515718306,362.861216099989,2846.33650544097
29990,0.0464,1435.908711564,360.78436257629,2824.61919123281
29985,0.0444,1445.52750547899,357.292634302962,2821.8988676199
29980,0.0426,1454.10985063215,360.145414861209,2834.99582757811
29975,0.0416,1448.4850851281,363.331790350287,2826.44111414626
29970,0.042,1437.91607665936,365.044939063479,2822.30759719264
29965,0.0438,1430.10838675816,362.319513280356,2842.38580192113
29960,0.0425,1436.42012210171,360.274886264153,2833.00002016685
29955,0.0458,1448.03862351868,355.201456179509,2817.49499296551
29950,0.0422,1454.67663065923,366.88545516499,2827.37511670396
29945,0.0448,1414.11322249186,362.158382322707,2819.35398441036
29940,0.0446,1440.77563420033,357.771132348109,2813.6897073242
29935,0.0444,1442.39177016327,358.927504246619,2807.61947748277
29930,0.0453,1435.15448787126,356.782723249187,2818.42111619348
29925,0.0451,1457.00592874498,357.919129206739,2823.47861905868
29920,0.0449,1435.93248078987,357.953937533373,2812.27229888939
29915,0.0425,1434.70910523356,364.348756941435,2812.73324855456
29910,0.0469,1430.96038371923,356.715181696542,2829.55361128837
29905,0.0457,1436.21613231596,357.312469557004,2811.99592912593
29900,0.0467,1446.11308431546,356.816060583746,2817.97675829452
29895,0.0429,1441.08523293799,364.884602361833,2813.37039607124
29890,0.046,1445.65115714754,358.297240383939,2813.74496698451
29885,0.0425,1432.52264301955,364.95650211104,2838.45071477372
29880,0.0387,1450.6844813054,373.642896782868,2816.64608716387
29875,0.0446,1430.58152852996,361.758108551834,2805.90245443268
29870,0.0458,1433.46901174297,355.990044005036,2811.57468983531
29865,0.043,1423.11049067009,359.477199269891,2813.39406373738
29860,0.0463,1431.01567676391,354.586569100963,2795.45669416655
29855,0.0415,1449.18531894384,366.463443680852,2813.4589661925
29850,0.0475,1439.60711139936,352.070486145643,2800.50109613429
29845,0.0454,1429.77711149531,355.842072531419,2808.27423345434
29840,0.0489,1440.02544122806,351.806345104807,2806.19135671953
29835,0.0425,1422.68485141734,362.181349275822,2798.492148201
29830,0.0446,1413.76210548257,360.860954737967,2802.54126657889
29825,0.0438,1440.53207231469,366.6608998334,2831.35683437525
29820,0.0438,1437.87114302937,362.573703627156,2819.63603267687
29815,0.0446,1446.16753238032,358.173536647493,2809.0196702889
29810,0.0411,1445.75353487915,370.019790090786,2815.14996397622
29805,0.0439,1451.13163133727,355.952027540672,2822.17628406611
29800,0.0433,1436.44500380585,366.607948424055,2808.62025197944
29795,0.0465,1415.24869349288,352.021932715463,2810.22616389742
29790,0.0466,1435.1970881353,359.965212364419,2814.49191843199
29785,0.0504,1437.58375850278,349.155786867486,2813.06337872478
29780,0.0458,1437.69898464007,354.96314533001,2813.65472896202
29775,0.0444,1415.94173557613,355.856626906805,2793.62787603447
29770,0.0454,1438.1400558594,356.83380596551,2811.03128836721
29765,0.0469,1430.41342367433,352.885272552818,2807.9807793246
29760,0.0436,1436.68536200571,355.380748383802,2819.60369455286
29755,0.041,1440.44942873994,366.748982275196,2808.4958064836
29750,0.0444,1416.57058947548,357.069785210521,2785.39907313587
29745,0.0473,1442.1250167372,355.081862558162,2806.06119711005
29740,0.0425,1444.57910489701,355.923019527081,2812.22090996572
29735,0.0441,1414.36717262559,356.38252004044,2801.33507969866
29730,0.0461,1408.8342382976,358.051889585485,2800.65548352834
29725,0.0451,1416.78411193686,359.8959113617,2801.14915742561
29720,0.0454,1425.81244374226,359.698955460595,2804.62311917437
29715,0.0455,1434.21308233497,353.88797488817,2803.50577950579
29710,0.0417,1427.92448470011,360.584272088323,2796.82717445778
29705,0.0473,1435.0035997757,354.650283452053,2794.93886981298
29700,0.0448,1429.30663341649,357.254590436942,2784.07015367047
29695,0.0453,1422.30656256678,351.929617910553,2788.43131260082
29690,0.0447,1429.7554489625,356.544485438535,2802.8368442823
29685,0.0468,1428.98865179641,351.005688588293,2787.71083803817
29680,0.0427,1430.97319175852,364.497924916308,2776.46416121197
29675,0.0461,1450.14119572017,355.367846098038,2807.84095710649
29670,0.0444,1420.6806548562,356.501941873726,2781.48028557875
29665,0.0479,1419.96900520658,354.896792111228,2817.82640406944
29660,0.0427,1441.30014196698,359.099529079982,2796.78417229035
29655,0.0455,1423.05123345173,351.013829528942,2789.8192850976
29650,0.0441,1424.26777668403,355.309986099158,2797.51833890649
29645,0.046,1443.60535691265,345.72445494145,2810.71405828015
29640,0.0498,1408.35919725332,349.704184860691,2778.25906603971
29635,0.0463,1427.11439029313,354.929410637588,2804.31640271065
29630,0.0442,1423.08631548588,357.493281980339,2774.32515650146
29625,0.0442,1425.4566548343,354.922076565237,2779.79197638421
29620,0.0458,1435.01506965144,354.13721820758,2793.01731014333
29615,0.0426,1432.19100925255,358.823479910528,2805.10306008715
29610,0.0447,1431.13475706015,361.846595181174,2796.02944734336
29605,0.0469,1445.93076647826,353.918307630378,2790.53503470815
29600,0.0452,1426.76702024061,356.94977805712,2802.44144033526
29595,0.0441,1418.81250763862,352.739079970895,2783.9321237612
29590,0.0459,1426.02761700454,353.828935823609,2779.67294327841
29585,0.045,1411.85853986327,350.991364710916,2786.69119380436
29580,0.0444,1428.7752098176,356.96328652538,2780.24109294372
29575,0.0445,1427.43627510778,352.725993238992,2780.29697893596
29570,0.048,1410.8719549936,350.013336676512,2792.47724712813
29565,0.0473,1419.80595978273,352.323089691159,2782.8497445093
29560,0.0412,1428.9296673504,359.460756115212,2791.90930601811
29555,0.0422,1416.63946529969,358.778797152428,2770.8158632633
29550,0.0456,1421.26126107112,354.920798709013,2791.85304594572
29545,0.0464,1422.17291949542,350.850722359904,2782.19798269746
29540,0.0449,1439.48075950845,358.755707031353,2786.60024741731
29535,0.0444,1429.64993929913,354.047235536176,2779.19371902711
29530,0.0417,1430.10187770634,360.770726788914,2777.12684157796
29525,0.0486,1410.43498575497,348.546868131693,2766.04712853521
29520,0.0434,1427.44431301404,356.516239010739,2786.69175992486
29515,0.0421,1434.52183318499,358.221840079869,2777.99518425331
29510,0.0462,1415.32539803469,350.632178105681,2769.94624889821
29505,0.0444,1435.17281294986,356.046591572733,2787.90553557658
29500,0.0471,1446.02674079127,346.574803514067,2795.77422054771
29495,0.0469,1411.03918118446,355.712609755398,2778.31338703544
29490,0.0431,1439.00440863859,356.772020491393,2802.57020947111
29485,0.0428,1429.67579428734,360.868946888446,2787.19736139183
