yplot.r,r.mn,Bycatch
2037,-0.039955466,0
2038,-0.039407021,0
2039,-0.039240294,0
2040,-0.039141605,0
2041,-0.040457598,0
2042,-0.040069192,0
2043,-0.039313558,0
2044,-0.039709054,0
2045,-0.040831254,0
2046,-0.040703417,0
2047,-0.04082078,0
2048,-0.04095428,0
2049,-0.040779917,0
2050,-0.039171255,0
2051,-0.039877944,0
2052,-0.040178366,0
2053,-0.040604429,0
2054,-0.039956688,0
2055,-0.039865615,0
2056,-0.039451713,0
2057,-0.040117351,0
2058,-0.039704998,0
2059,-0.040351978,0
2060,-0.03942963,0
2061,-0.040157327,0
2062,-0.039894599,0
2063,-0.039462311,0
2064,-0.03994971,0
2065,-0.039156664,0
2066,-0.040118306,0
2067,-0.039747827,0
2068,-0.039620367,0
2069,-0.03965427,0
2070,-0.040811815,0
2071,-0.039740002,0
2072,-0.040193363,0
2073,-0.039854025,0
2074,-0.039987435,0
2075,-0.040396549,0
2076,-0.041074296,0
2077,-0.040731012,0
2078,-0.040176689,0
2079,-0.039837886,0
2080,-0.040486097,0
2081,-0.03970038,0
2082,-0.040082009,0
2083,-0.040300218,0
2084,-0.040436629,0
2085,-0.039047636,0
2086,-0.040989551,0
2087,-0.040964717,0
2088,-0.038881191,0
2089,-0.040506898,0
2090,-0.03956926,0
2091,-0.040236754,0
2092,-0.038936968,0
2093,-0.039959061,0
2094,-0.040945801,0
2095,-0.039648772,0
2096,-0.039069655,0
2097,-0.039819679,0
2098,-0.039778366,0
2037,-0.044547979,0.25
2038,-0.047063881,0.25
2039,-0.046288703,0.25
2040,-0.045696964,0.25
2041,-0.04653567,0.25
2042,-0.0461709,0.25
2043,-0.045989185,0.25
2044,-0.046831734,0.25
2045,-0.047173539,0.25
2046,-0.049322953,0.25
2047,-0.049553762,0.25
2048,-0.049862079,0.25
2049,-0.050365933,0.25
2050,-0.050913649,0.25
2051,-0.051382541,0.25
2052,-0.05131505,0.25
2053,-0.053284721,0.25
2054,-0.052875233,0.25
2055,-0.053602744,0.25
2056,-0.055971287,0.25
2057,-0.055535304,0.25
2058,-0.057296407,0.25
2059,-0.060250542,0.25
2060,-0.059451345,0.25
2061,-0.062897666,0.25
2062,-0.065707376,0.25
2063,-0.066583781,0.25
2064,-0.069260484,0.25
2065,-0.071418508,0.25
2066,-0.075262515,0.25
2067,-0.079369202,0.25
2068,-0.08382555,0.25
2069,-0.08957319,0.25
2070,-0.095194612,0.25
2071,-0.100278489,0.25
2072,-0.10460518,0.25
2073,-0.1105438,0.25
2074,-0.115245528,0.25
2075,-0.120568644,0.25
2076,-0.127374754,0.25
2077,-0.136335066,0.25
2078,-0.146767517,0.25
2079,-0.161347147,0.25
2080,0,0.25
2081,0,0.25
2082,0,0.25
2083,0,0.25
2084,0,0.25
2085,0,0.25
2086,0,0.25
2087,0,0.25
2088,0,0.25
2089,0,0.25
2090,0,0.25
2091,0,0.25
2092,0,0.25
2093,0,0.25
2094,0,0.25
2095,0,0.25
2096,0,0.25
2097,0,0.25
2098,0,0.25
2037,-0.15429819,0.5
2038,-0.173769114,0.5
2039,-0.192818662,0.5
2040,-0.2089774,0.5
2041,-0.233153665,0.5
2042,-0.267847691,0.5
2043,-0.316434205,0.5
2044,-0.400587936,0.5
2045,-0.531787078,0.5
2046,-0.667046469,0.5
2047,-0.626745057,0.5
2048,-0.511642693,0.5
2049,-0.478854711,0.5
2050,-0.485627973,0.5
2051,-0.50480036,0.5
2052,-0.526379723,0.5
2053,-0.544317529,0.5
2054,-0.571754425,0.5
2055,-0.618240269,0.5
2056,-0.701645202,0.5
2057,-0.806693152,0.5
2058,-0.920064878,0.5
2059,-0.971803563,0.5
2060,-0.946188093,0.5
