"yplot.r","r.mn","r.lo","r.up"
2037,-0.0445479789321998,-0.0679161552126227,-0.0163788697575559
2038,-0.0470638809007689,-0.070239743931873,-0.0169413039272166
2039,-0.0462887027528609,-0.0702346992834798,-0.0166520190793768
2040,-0.0456969644413536,-0.0696194137139427,-0.0172376863378704
2041,-0.046535669886126,-0.0700257498007956,-0.0170745517968933
2042,-0.0461708995022249,-0.0709845301065419,-0.0172642638428096
2043,-0.0459891845583361,-0.0699730032244541,-0.0175568415840014
2044,-0.0468317335341145,-0.0717389436865469,-0.0176346787289955
2045,-0.0471735386913413,-0.0728349713663231,-0.0184408446876284
2046,-0.0493229532619587,-0.0747281297809405,-0.0181353885221409
2047,-0.0495537618495913,-0.075681840308984,-0.0194348056973197
2048,-0.0498620786056418,-0.0769044666347745,-0.0189046331437112
2049,-0.0503659328237933,-0.0775183258869024,-0.0192457222770787
2050,-0.0509136490884679,-0.079396370331364,-0.0202485567028148
2051,-0.0513825406084322,-0.0813152864498146,-0.0204951806814927
2052,-0.0513150497822145,-0.0823693980164038,-0.020472178049423
2053,-0.0532847208076818,-0.086854404518036,-0.0213251694956622
2054,-0.0528752333217926,-0.0883105289076858,-0.0216539546279148
2055,-0.0536027440530568,-0.0913311385788586,-0.0221800649633366
2056,-0.0559712870512188,-0.0990424609855637,-0.0227388497059874
2057,-0.0555353044016243,-0.0999693655842095,-0.0231734295270418
2058,-0.057296407121565,-0.107091925131613,-0.0239552545587395
2059,-0.0602505421349695,-0.12116819320693,-0.0243122472504055
2060,-0.0594513446861439,-0.123661491891569,-0.0246663723155985
2061,-0.0628976663846369,-0.144091837158133,-0.0258526915591737
2062,-0.0657073759142766,-0.170219656358499,-0.0262178080538421
2063,-0.066583780635263,-0.187429394875335,-0.0269899020350987
2064,-0.0692604837690202,-0.223717605761655,-0.0273581403240026
2065,-0.0714185077934326,-0.263323929822611,-0.0283841944602538
2066,-0.0752625153542432,-0.324082357552056,-0.028722448156411
2067,-0.0793692023510056,-0.373658650270225,-0.0299050735510855
2068,-0.0838255500678072,-0.432803228438619,-0.0310560484080713
2069,-0.0895731901419276,-0.49913800218441,-0.0318343603451471
2070,-0.0951946122619647,-0.567588973893489,-0.0327930490476582
2071,-0.100278489173092,-0.584274593312359,-0.0339069952910676
2072,-0.104605179935345,-0.568274514793434,-0.0347217701003733
2073,-0.110543799782842,-0.581004277306534,-0.0364567559989669
2074,-0.115245528207564,-0.563938566418393,-0.0365909488156064
2075,-0.120568643741475,-0.563151583863232,-0.0382203339674876
2076,-0.127374753875863,-0.576681369940463,-0.0397072696070016
2077,-0.13633506645066,-0.590724357424489,-0.0417349794276901
2078,-0.146767517215488,-0.635744939149629,-0.0433349202553234
2079,-0.16134714696438,-0.699504563226164,-0.045148011801296
2080,-0.176986136033214,-0.716922476686397,-0.0472177060798653
2081,-0.197505397512752,-0.765758619432048,-0.0496651655721091
2082,-0.215218950734354,-0.77859401073161,-0.0520565094805959
2083,-0.234427382276472,-0.804635925481889,-0.0542502343596039
2084,-0.248272611987713,-0.80832812781522,-0.057281024192182
2085,-0.257458770246327,-0.806545507355054,-0.0597729780001834
2086,-0.266233532950337,-0.797143588921502,-0.0643803131650925
2087,-0.273307874463424,-0.781545880533873,-0.068714548190072
2088,-0.280447032669087,-0.772468408843509,-0.0720936055965041
2089,-0.290136648529434,-0.789933292354192,-0.0774178897033301
2090,-0.305978017533978,-0.817513825622604,-0.0831198371863829
2091,-0.317640111181421,-0.847097661168877,-0.088908449937436
2092,-0.340235301546569,-0.954961559329581,-0.096268391065487
2093,-0.365921458020354,-1.0865772623033,-0.104198705145927
2094,-0.393225834965458,-1.14924011202821,-0.113970691794894
2095,-0.432747947985406,-1.29489909011599,-0.125457218993584
2096,-0.471216594467982,-1.34423891193861,-0.139842112376224
2097,-0.513643399377757,-1.35156195773683,-0.158638563219983
2098,-0.539908016103893,-1.30837040211965,-0.18055419906479
