"yplot.r","r.mn","r.lo","r.up"
2037,-0.751781393488498,-0.942156518371388,-0.473835126001987
2038,-0.546146990703578,-0.806007951970269,-0.386484479966804
2039,-0.457327878677632,-0.61956955314104,-0.355295137680937
2040,-0.457977414414804,-0.633301126216252,-0.361681689930983
2041,-0.471627404298013,-0.721384563578456,-0.371383338899153
2042,-0.496377770066597,-0.864174089691587,-0.383864230597225
2043,-0.534043495775628,-1.13037118842506,-0.399586936496926
2044,-0.567786394294173,-1.19775343457706,-0.417308152461001
2045,-0.612460334663925,-1.24122428465877,-0.43223347989809
2046,-0.669550142711737,-1.27828761607497,-0.454479903078319
2047,-0.768383773161459,-1.54092383954505,-0.462533681788607
2048,-0.937575252475153,-2.26327507457841,-0.459492261441908
2049,-1.10901299682295,-3.10330498995964,-0.41947987602219
2050,-1.09527433295512,-3.40932187774381,-0.388213492313462
2051,-0.897186022815503,-2.92672525067585,-0.371163191101787
2052,-0.731732042912296,-2.47211132879449,-0.361643899469505
2053,-1.29926095896672,-3.53075295973693,-0.496190509065932
2054,0,0,0
2055,0,0,0
2056,0,0,0
2057,0,0,0
2058,0,0,0
2059,0,0,0
2060,0,0,0
2061,0,0,0
2062,0,0,0
2063,0,0,0
2064,0,0,0
2065,0,0,0
2066,0,0,0
2067,0,0,0
2068,0,0,0
2069,0,0,0
2070,0,0,0
2071,0,0,0
2072,0,0,0
2073,0,0,0
2074,0,0,0
2075,0,0,0
2076,0,0,0
2077,0,0,0
2078,0,0,0
2079,0,0,0
2080,0,0,0
2081,0,0,0
2082,0,0,0
2083,0,0,0
2084,0,0,0
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,0
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,0
2094,0,0,0
2095,0,0,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
