"yplot.n","n.mn","n.lo","n.up"
2037,669.11478172784,291.050411707557,796.850562323057
2038,624.165884152073,262.400604984638,752.10437582827
2039,580.387589576893,231.414163447553,710.583316958923
2040,538.563175765052,202.914486066152,668.344270797448
2041,498.490293025351,174.252278883758,627.573753659608
2042,459.85828249908,147.725715193745,588.865683691765
2043,422.770325275947,119.002169305943,550.237661721442
2044,387.280234753481,93.6061680570252,512.939266032462
2045,352.714225434232,69.6550380111699,476.657484058661
2046,319.247992349653,47.0627108892625,442.195715966123
2047,287.823907531821,26.8769041958782,408.500227414007
2048,257.702390930027,12.6118099983759,375.779134643276
2049,229.106843958634,6.68603150189797,344.37207608214
2050,201.971002205013,4.05217718785497,313.201665095382
2051,176.627146257164,2.47602429131456,283.846744377886
2052,152.907688713903,1.51183495702909,254.317917691555
2053,130.490461842766,0.914155617256258,226.097871336853
2054,109.519289450324,0.562921418087503,198.877029034507
2055,89.6951190287978,0.303570598312314,172.583257982042
2056,71.1238020688081,0.161395267177507,147.271489128639
2057,53.8293003667042,0.0779809626028609,122.677072431724
2058,37.8370646573776,0.0347958495766973,98.4035594093778
2059,23.9711821458983,0.0111830435978708,75.4402445110497
2060,13.6118516724918,1.15324218715673e-05,52.878266424124
2061,7.36673840262537,0,32.2007556247435
2062,4.18008009911051,0,15.3810166167754
2063,2.5415171208685,0,8.16898072828784
2064,1.60095123947309,0,5.22513963584631
2065,1.01168210212858,0,3.38873772901296
2066,0.63256800979907,0,2.20153037307918
2067,0.38765525250615,0,1.40015831291693
2068,0.232067248529207,0,0.903531720113437
2069,0.134130816985093,0,0.551991101128344
2070,0.0737154770274352,0,0.33341341758662
2071,0.0381138067215496,0,0.194516250404418
2072,0.0182668400883245,0,0.109543823259159
2073,0.00787540089390578,0,0.0576604024241394
2074,0.00293509446328779,0,0.0278352647806342
2075,0.000883649067602317,0,0.0110059178780528
2076,0.000196201701683089,0,0.00129034699014889
2077,4.11422819549133e-05,0,0
2078,8.20475536363196e-06,0,0
2079,3.71173024650652e-07,0,0
2080,0,0,0
2081,0,0,0
2082,0,0,0
2083,0,0,0
2084,0,0,0
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,0
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,0
2094,0,0,0
2095,0,0,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
2099,0,0,0
