"yplot.n","n.mn","n.lo","n.up"
2037,877.520575224214,473.698359020098,1016.37342026527
2038,844.766490114089,455.213833562891,985.120319435019
2039,813.365921465125,436.97454415993,955.838099886946
2040,783.229665224058,421.368814471082,926.508252434553
2041,754.297377110636,404.215905854193,899.757345430411
2042,725.794229004732,387.630883667587,873.271775750082
2043,698.596044236946,371.456620901323,847.053354692848
2044,672.610335415715,357.167732569547,820.828310936872
2045,647.546819377004,341.484575438184,794.968671111488
2046,622.987037028733,323.104023266315,770.424456963862
2047,599.224317941457,295.876515779592,748.128263782495
2048,576.257231345225,204.694993235434,724.540505384168
2049,554.242672235747,191.291666199818,701.161238344441
2050,533.116455728154,181.899892411376,679.267959233995
2051,513.504003120085,173.48622598467,657.864076456221
2052,494.295356411255,165.899582355496,638.053846099145
2053,475.788400041163,158.466008232641,617.864756919806
2054,457.690255485633,152.412744152114,598.876638662995
2055,440.523809734858,146.155498008713,580.02275546109
2056,424.011953854587,140.854873669388,562.76574068971
2057,408.329229630055,135.606649711037,545.534729845947
2058,392.998185730455,130.497235959641,528.629897001434
2059,378.191194962048,125.744617498901,512.170468480802
2060,363.842706674946,121.21481824889,496.24859453735
2061,350.420240116323,116.325263858905,479.856099163471
2062,337.159237554879,111.8464380591,465.290314137376
2063,324.546113954237,107.654291442073,450.704494519148
2064,312.54342031368,103.243157616004,436.925670687186
2065,300.790504284755,99.4468667821938,422.856637118127
2066,289.616682136147,95.6953607983767,409.476003599012
2067,278.741513691003,91.997141026243,396.140880876607
2068,268.312904084106,88.001787658863,383.859369815633
2069,258.23020515021,84.926240004379,371.760925578906
2070,248.59058506571,81.7987973334196,359.695031776398
2071,239.071865892254,78.5034713575632,347.50223617388
2072,230.170647431188,75.8214439182088,336.716200992091
2073,221.530052175896,72.9492035372089,325.623563128461
2074,213.252321887118,70.0361139756861,315.770604595158
2075,205.238426661461,67.1135173016414,305.183515995428
2076,197.563330592522,64.46607797724,296.167980003938
2077,189.977982771281,61.4857305658903,286.701193281199
2078,182.80074205447,58.5824922003832,277.433492061471
2079,175.888808978485,55.7742982012106,268.650288851023
2080,169.353770522772,52.4056132955633,260.518984444764
2081,162.897579774088,49.4179788713116,252.457346613705
2082,156.821640723418,45.0860367124729,244.00406956495
2083,150.879780622012,37.3875858766264,235.939248849903
2084,145.213767480072,34.0395938332019,228.526610485411
2085,139.749752835224,32.1716651039351,221.250811391223
2086,134.64192562875,30.7057569745412,214.3526126384
2087,129.467296818271,29.3139644831679,207.828285497615
2088,124.552126518196,27.7218844323929,200.872825913756
2089,119.973572504253,26.5518919552607,194.386860002189
2090,115.422188686277,25.5309149881389,188.507383708943
2091,111.103023662081,24.4933197688234,182.317667966022
2092,106.934675008707,23.4376523649688,176.18780792415
2093,103.002869635986,22.5839473599504,170.623263084282
2094,99.1521437779893,21.7895743685384,165.014024997243
2095,95.3586807883753,20.91978224309,159.724410395147
2096,91.8262441191183,19.9989906251609,154.852702621902
2097,88.4666334385991,19.1493747600147,149.643973319808
2098,85.1820238068521,18.4249347445606,144.770628809723
2099,81.97685282854,17.6385308488151,140.48742854887
