"yplot.r","r.mn","r.lo","r.up"
2037,-0.0694051712163239,-0.0917880885976235,-0.0401650005218015
2038,-0.0698665933233681,-0.0932772945705016,-0.0401465332881018
2039,-0.0697886486235747,-0.0925122423978688,-0.0398813466190671
2040,-0.0684132778382154,-0.0921544506350772,-0.0397590452306331
2041,-0.0696955689196266,-0.0940486612797815,-0.0399823515418796
2042,-0.069687586271255,-0.0930520844718475,-0.040012687609202
2043,-0.0692962105026769,-0.0935800454157002,-0.0401269216022754
2044,-0.0697657447491656,-0.0929149501523306,-0.0400399430075703
2045,-0.0695289047030995,-0.0932982067775394,-0.0396047142657284
2046,-0.069266343091379,-0.0930118823232926,-0.0401027748638046
2047,-0.0695951177374334,-0.0926579410131002,-0.040141249715281
2048,-0.0697324442009786,-0.0930340935207988,-0.0398992522681183
2049,-0.0690220743997252,-0.0919074492826407,-0.0399319731482662
2050,-0.0683290046780657,-0.0923561397083197,-0.0398689110926241
2051,-0.0692572327667657,-0.0919621167750128,-0.0396552413747189
2052,-0.0694587920103385,-0.093052064741955,-0.040500495242492
2053,-0.0696064993833324,-0.0932679920075432,-0.04015831837222
2054,-0.06994366960816,-0.0946789374835279,-0.0398707735854745
2055,-0.0691013130155408,-0.092789337581401,-0.0396820174234063
2056,-0.0699687829580494,-0.093094382117554,-0.0398926155846634
2057,-0.0707851028718764,-0.0939859289914092,-0.0397698994546061
2058,-0.069827213546499,-0.0937912956784323,-0.0400972957250071
2059,-0.0686724224845555,-0.0928667952694434,-0.0399904077006514
2060,-0.0699555732855198,-0.0934405833348683,-0.039502711500468
2061,-0.0692210926805531,-0.0926209223896399,-0.0401150218255683
2062,-0.0687441803372458,-0.0928836881213417,-0.0399824190452508
2063,-0.0689665223095618,-0.0933463580262442,-0.0399742440305707
2064,-0.0701413633810232,-0.0935047428035887,-0.0399803601764433
2065,-0.0696300534721052,-0.0932011121853183,-0.0399942874289292
2066,-0.0701595025863372,-0.093130959881668,-0.0401366087328196
2067,-0.0693034877480039,-0.0934541700531507,-0.0401758458059158
2068,-0.0702247814768389,-0.0932892484038542,-0.0398195668307257
2069,-0.0690598001820904,-0.0920849443626624,-0.0400198136213484
2070,-0.0685679175299276,-0.0909739804197657,-0.0399617223166049
2071,-0.0700285314790177,-0.0932513117262082,-0.0401541404855811
2072,-0.0686256299517334,-0.0922096004354006,-0.0398145690008376
2073,-0.0689860744986557,-0.0929325732883511,-0.0396787589198654
2074,-0.0695622624055497,-0.0930547841545727,-0.0402190933234939
2075,-0.0684379113869089,-0.0920798947072833,-0.0404965005084394
2076,-0.0686565374073179,-0.0922305931543855,-0.0398108893422044
2077,-0.068616597492522,-0.0920427400551568,-0.0398736025087134
2078,-0.0692272340194918,-0.0921824625405061,-0.0392989577516653
2079,-0.0701412764770204,-0.0932688537908372,-0.0399249484322864
2080,-0.0696702381010518,-0.0944319980815669,-0.0401988833634795
2081,-0.0703013629131081,-0.0927169561312806,-0.0404260096565795
2082,-0.0688970065252341,-0.0922139781148086,-0.0395069802342671
2083,-0.0690917088038485,-0.0921966621513355,-0.0397279953360261
2084,-0.0695820236329541,-0.0936298629150194,-0.0403492780432042
2085,-0.0704919440590709,-0.0931923134907319,-0.0401145740261041
2086,-0.0690484798474564,-0.0927379603268073,-0.0402426854898397
2087,-0.0692772570818153,-0.0935860437949709,-0.0397804329642487
2088,-0.0688868604249946,-0.0924663307197849,-0.0399632733333228
2089,-0.0683248400640218,-0.0920494637081608,-0.0398849754267779
2090,-0.0696393665104618,-0.0940612753487573,-0.0397020523752755
2091,-0.0704201178627476,-0.0930471812834888,-0.0396017990321132
2092,-0.0694765099794029,-0.0925178170520655,-0.040297615073383
2093,-0.0699290279415405,-0.092820932417849,-0.0398178398674657
2094,-0.0696022627591852,-0.0931731200300094,-0.0400581912411709
2095,-0.0693589952188461,-0.0920795150131368,-0.0399811769795221
2096,-0.0687159406961991,-0.0911428317687582,-0.0390975445152456
2097,-0.0702467095528626,-0.0944279417372411,-0.0400516775510056
2098,-0.0688447369844845,-0.0924762723513298,-0.0402452960914687
