"yplot.r","r.mn","r.lo","r.up"
2037,-0.0996950920728259,-0.123520838302061,-0.0679232426420429
2038,-0.0982095020755869,-0.122680513663089,-0.0679227614317569
2039,-0.0990078418888006,-0.123404365200633,-0.0666962094740105
2040,-0.0991933160597833,-0.123454416022001,-0.067739207258847
2041,-0.100075978742761,-0.124865590417491,-0.0673806784431294
2042,-0.0978477867282202,-0.122239395232764,-0.0669008093765613
2043,-0.0994372772142109,-0.123210827222892,-0.0669663089783548
2044,-0.0988731370261607,-0.124160644201926,-0.0673614820175012
2045,-0.0986146274610971,-0.123210714510851,-0.067541870974861
2046,-0.0990208049639254,-0.122837630430291,-0.0668044574838682
2047,-0.0980669164570721,-0.123258370078261,-0.0672881951951349
2048,-0.0978422936871494,-0.122340528687745,-0.0673533971838689
2049,-0.0987218251118019,-0.122938855592252,-0.0677320356770944
2050,-0.0974981877567797,-0.122617240299051,-0.0669075986181164
2051,-0.0982675025447294,-0.123289849209824,-0.0669814380287523
2052,-0.0984835284628425,-0.122463167451487,-0.067171748049908
2053,-0.0983755647329167,-0.124106124630292,-0.0672236102573134
2054,-0.0989733702592467,-0.123336581026238,-0.0670009181644636
2055,-0.0994462597718012,-0.123910408314808,-0.0674479295068067
2056,-0.0983041323531226,-0.123403642649677,-0.0671960265794898
2057,-0.0995694626524221,-0.124152308455701,-0.0675732727081543
2058,-0.0991411259061327,-0.123458207720705,-0.0676654602617871
2059,-0.0974900449903591,-0.122378286543274,-0.067272827244482
2060,-0.097683043831194,-0.121826899999548,-0.0677932945069127
2061,-0.0984872406318369,-0.123216020207423,-0.0671778397998476
2062,-0.0983647449479777,-0.123120901504201,-0.0671767204007412
2063,-0.0993398050767648,-0.124197352299337,-0.067141982588094
2064,-0.098906712703988,-0.123153513568666,-0.066354954624692
2065,-0.0996646217927253,-0.124049138742229,-0.06730829510711
2066,-0.0990627374247332,-0.123883623077782,-0.0677603526899364
2067,-0.0984183468014086,-0.122705029990304,-0.0669554406791777
2068,-0.0989957740554684,-0.123960059258632,-0.067399229498801
2069,-0.0982032614971316,-0.123338267152368,-0.067300054449472
2070,-0.098309242081949,-0.123302239775022,-0.0675460638447246
2071,-0.0984485927209168,-0.123026762027315,-0.0681085513130295
2072,-0.0981244186185349,-0.122649337722695,-0.0673815726556826
2073,-0.0996462950461486,-0.124661916576364,-0.0671335883465219
2074,-0.0993263036446827,-0.124203334073492,-0.0677403884098136
2075,-0.098109855613395,-0.122979990637581,-0.0669027198444504
2076,-0.0987522055156656,-0.123871816679947,-0.0670538978691392
2077,-0.098585066037934,-0.123569942124978,-0.0668491957454999
2078,-0.0987832370894474,-0.123630738688841,-0.0671576638086513
2079,-0.099521657765067,-0.123396703438174,-0.0673860014883161
2080,-0.0988825634524853,-0.123515911087519,-0.0674663406940576
2081,-0.0994162657590651,-0.123314444177746,-0.0672376640472823
2082,-0.0986833960453613,-0.123260086832239,-0.0673540395920115
2083,-0.099292088449163,-0.123845632542536,-0.0673207846246371
2084,-0.0991634113705527,-0.123417940290481,-0.0676090259399764
2085,-0.0983469002338075,-0.122964376186782,-0.0671129233325362
2086,-0.0984143073788033,-0.123300927547847,-0.0674494463065232
2087,-0.097795805706613,-0.122373554158437,-0.067468531587359
2088,-0.0984136801652002,-0.123959303719644,-0.0668076562804769
2089,-0.0973810781798098,-0.122660960101705,-0.0664366172563458
2090,-0.0984918544628114,-0.122784785274982,-0.0679062737718936
2091,-0.097251864105074,-0.122434557399025,-0.066838033115237
2092,-0.098201826175783,-0.123300629632345,-0.066642535107325
2093,-0.0976055958788902,-0.122064226739744,-0.0674980138531762
2094,-0.0994031292351734,-0.122841110586121,-0.0673990534449746
2095,-0.0992735374552535,-0.123928946226702,-0.0675294657712324
2096,-0.0985712366996182,-0.122900945773987,-0.0673496153207205
2097,-0.0983569797088668,-0.123762460234709,-0.0667544035930588
2098,-0.0995934280500738,-0.124271943017849,-0.0673465723180642
