"yplot.n","n.mn","n.lo","n.up"
2037,726.061587558864,388.472760224867,843.564605071007
2038,688.991087122626,368.038284424842,807.363783928077
2039,654.523656304939,349.100903400937,773.127664506249
2040,620.926061557813,331.745853717723,738.061357496754
2041,589.143605950143,313.306080748884,706.297168463731
2042,559.148725570259,297.033013797777,674.329584699598
2043,530.347612193014,279.874649588972,644.80777241437
2044,503.397750763649,264.638481693865,615.34249886116
2045,477.520021756287,249.353718828803,589.048792737294
2046,453.283048184238,234.755810292058,562.542640838749
2047,430.21827078705,218.528343873756,537.129140278724
2048,408.146643809706,197.331702842528,513.067349089572
2049,387.321809370593,132.147476431445,490.631471879594
2050,367.388870709963,124.158022599181,468.21412833218
2051,348.753494961327,116.884101711234,447.911834460687
2052,330.803406172062,110.439340773763,428.063609634985
2053,314.010463632605,104.277524008897,409.644011871327
2054,297.788034658792,98.2024561148441,390.813453076409
2055,282.331404433886,92.6175568042477,373.005177411635
2056,267.781463874184,87.8180857209102,356.727354807961
2057,254.176704185568,83.3373057764327,340.462199564082
2058,240.966264143776,78.8720320041525,325.044089413993
2059,228.577158141296,74.3187304323757,310.7031488357
2060,216.919602593724,70.5918757422104,296.182017276294
2061,205.858897210187,67.0270538293347,283.121956817944
2062,195.353794091808,63.21265878503,270.019504873567
2063,185.149077477111,59.9299558266163,258.261600833828
2064,175.527959872431,56.8535718182396,245.94203828575
2065,166.42467429854,53.9179665357697,234.486620330973
2066,157.88142835296,51.0215914511543,223.683099160345
2067,149.616053118065,48.4412112829692,214.255477085672
2068,141.817150675012,45.8749855661933,204.631399434593
2069,134.542238617791,43.2917544782122,195.367310123146
2070,127.745993353957,40.9675256773098,186.139579242039
2071,121.115580984084,38.9086438353973,177.687071549613
2072,114.75166927837,36.6784868312343,169.496183591197
2073,108.796924013451,34.7662852843593,161.836954446452
2074,103.222972607266,32.9781897405601,154.578459911145
2075,97.874843349079,31.0162794383576,147.740444351239
2076,92.8484124391394,29.4371958898488,140.836116459333
2077,88.1020964773175,27.7032055621609,134.509701414042
2078,83.5499309590303,26.2353055274758,128.106688158714
2079,79.2494402000497,24.9494015521728,122.126605974894
2080,75.2319715963698,23.5284784303551,116.570963385334
2081,71.3283786048723,22.3083799085623,111.126449624153
2082,67.6547303325479,20.7537611455322,105.758856956535
2083,64.242621620676,19.4467214819975,101.072466914968
2084,60.9544691931171,18.053233251368,96.1301762092309
2085,57.8406604178094,16.1692571842303,91.9725216426683
2086,54.8507671283467,13.3362342772489,87.6652151033656
2087,52.0627575896682,12.3322491000703,83.6751562525665
2088,49.398364618478,11.5626723254169,79.8976819149246
2089,46.8215575568897,10.5804378239614,76.2500903127418
2090,44.3816038240369,9.94881458658055,72.6298402528547
2091,42.1049599508706,9.31235607413354,69.279779618581
2092,39.9382724293938,8.82946419681539,66.1809925969787
2093,37.9213873842498,8.35251529348333,63.065715019404
2094,35.9824909650227,7.81299016748662,60.0359631379052
2095,34.1515663833021,7.39179988889296,57.3742926086675
2096,32.4057491559997,6.9893439067884,54.6827923150133
2097,30.7613568144863,6.63603206897284,52.2833227555406
2098,29.1870254475206,6.28344117503069,49.9224568228673
2099,27.7019280880231,5.95848575086439,47.5123877322975
