"yplot.n","n.mn","n.lo","n.up"
2037,879.66534059256,474.224709237328,1016.54968288954
2038,846.718093229032,457.744201889169,987.18417134065
2039,814.885880881224,440.028056851704,957.143553510602
2040,784.144745996123,421.808560574811,926.972782482202
2041,754.782207669841,404.932735003761,898.632279677044
2042,726.930722370837,388.950160284,872.624862619607
2043,699.858081543638,372.280821320839,844.508119897626
2044,673.929264012814,356.570955914127,820.342178115755
2045,648.974776102022,340.060730166253,795.126934482796
2046,624.323595514042,323.061833499512,770.626556002019
2047,600.543886031544,304.79544171429,746.591811077404
2048,578.59872013675,207.302086375167,724.501587099767
2049,556.905462425056,193.946174313041,702.08587512104
2050,536.199887244356,184.559059169447,681.20700459547
2051,515.902028208198,174.832779664445,660.606894230059
2052,496.855744992482,168.010530435162,639.977579380773
2053,478.218552382794,160.56569241534,619.896177577472
2054,460.283238924364,154.820157343698,602.10996947741
2055,443.343980786283,148.364688450896,582.461488156336
2056,427.088487668275,142.906180660189,564.764839983987
2057,410.979781916305,136.867963904983,547.202760781262
2058,395.276643916316,131.79411964289,528.774588648988
2059,380.329824450277,126.750866207266,513.019657432965
2060,366.022800012675,121.825272752417,496.370456570017
2061,352.498327376767,117.004367347382,480.945317778996
2062,339.217500600753,112.942192214069,467.025698373655
2063,326.538879338862,108.612150842924,451.496409856306
2064,314.246194855782,104.383723459917,436.714376787996
2065,302.394193900356,100.499101582074,423.081108004359
2066,290.982096867407,96.7417239100264,409.045499699523
2067,280.215511600424,92.6220381719177,396.026023030852
2068,269.614653572469,88.6732179567716,383.35798742568
2069,259.42791867733,85.397730942197,370.714337943283
2070,249.741282656446,82.1686230686255,358.618904835892
2071,240.454705683749,78.7268139186528,346.759579621152
2072,231.469196626318,75.4878038088378,336.75293605315
2073,222.974505433531,72.9550395790525,326.263598341338
2074,214.651258810775,69.9554195837003,316.36842293925
2075,206.597612283277,67.088335386846,306.363193750067
2076,198.797675160773,64.1307243671541,296.678008836568
2077,191.292430417202,61.8442193772636,286.856722573032
2078,184.245881153475,59.5689134775259,278.055120654088
2079,177.45497413993,56.7788662296646,269.548331912139
2080,170.896330836906,54.0675362714057,260.366013266648
2081,164.537128732702,51.6249309975689,252.043176729102
2082,158.307290331152,49.2001863124497,244.770561371247
2083,152.403874349858,46.0129062352447,236.331459598992
2084,146.753820902786,43.1883724138313,229.307940526356
2085,141.292804311744,35.3921677000842,222.021081757155
2086,136.032346017518,32.6444081357196,214.76464558946
2087,130.944863269073,30.5418719554934,207.226113951367
2088,126.108778205218,29.2117366225072,200.512584595594
2089,121.342437654956,27.9723971345923,193.917790658316
2090,116.821238849534,26.6543304361614,188.183322816475
2091,112.255743543808,25.1445514020664,182.172469915678
2092,108.059185646215,24.2583562166498,176.025982725632
2093,103.998791466703,23.2739726056492,170.455025162921
2094,100.202414445518,22.3925543973173,164.88911758056
2095,96.5254148863059,21.5144707987281,159.664441687021
2096,92.9252974925495,20.6622877586601,154.455502527027
2097,89.455745288281,19.903600202085,149.408552928427
2098,86.1053858490193,19.2107364351645,144.66944417757
2099,82.862501658123,18.4464085611782,140.107763013634
