"harv.p.vec","n.mn.harv","n.mn.lo","n.mn.up"
0,269.241936667299,87.7671997732991,826.950785258523
0.01,262.125459146434,84.0722462031826,821.586821735503
0.02,256.748842092472,80.3296426899748,813.299585365742
0.03,250.073571014373,77.3044974066628,805.989481637479
0.04,242.715473208641,73.6552562935623,798.190625996907
0.05,237.133871547571,70.7781976825523,793.081726707707
0.06,231.615940576106,67.9042767014849,788.551867632775
0.07,224.815453883175,64.7579123882763,778.886877163133
0.08,220.392829803165,62.700914249138,774.405578418212
0.09,213.615621600974,59.5309041563028,766.435210507574
0.1,208.437692424897,57.3633287903561,762.153931188297
0.11,203.445161081541,54.7921871797715,755.893273500205
0.12,198.897398289477,52.7866672738674,748.587443135618
0.13,193.982196251417,50.4500018716691,742.414678101768
0.14,188.435379654578,48.1812899000356,736.180936555272
0.15,182.174991491034,45.7787488892632,728.125597378893
0.16,177.724179182135,44.0699490785535,721.961699200174
0.17,174.711238737279,42.4866600963178,718.608961887181
0.18,170.831092446229,40.7987874124625,711.289660108061
0.19,164.621219216636,38.6842182672388,705.674890518583
0.2,160.906810166759,37.1444656169478,698.187202215974
0.21,157.249442193296,35.542438590729,694.300778647033
0.22,152.652593617943,34.1812998346887,686.662559070661
0.23,148.304585474316,32.6642019090053,682.993507516077
0.24,146.136712132294,31.2069541695368,678.336399041451
0.25,141.690853703743,29.8441311450773,670.373715541662
0.26,138.64679566039,28.8073184578673,665.673983442905
0.27,135.582720840884,27.853537167039,662.770807643709
0.28,131.39791791758,26.24326884745,654.200272080784
0.29,127.535978024624,25.1715860839817,645.535793503105
0.3,125.107584316065,24.3263592007936,642.726418116476
0.31,121.5202566593,23.0967299831834,639.406600864626
0.32,118.605585816399,22.256389761264,634.175779554149
0.33,115.478892840615,21.3432359325287,627.868524426842
0.34,112.324110680226,20.3557264069008,622.467599020474
0.35,109.265549755644,19.5014752917098,616.751443546134
0.36,107.136585058003,18.7779131876182,611.125664442091
0.37,103.928738373325,17.9073218665273,606.555760342587
0.38,101.720318994462,17.2273063125906,602.389686240918
0.39,99.018109723824,16.451178999241,595.613212139261
0.4,96.9212267295623,15.8817438520053,590.830027916869
0.41,93.8772726745399,15.0735602040427,586.552292179158
0.42,91.4704014630759,14.4073055194746,581.747915896485
0.43,89.5484130923069,13.9172921120706,576.73112896519
0.44,87.0502922131929,13.2912289736772,571.761995762145
0.45,84.9030778206443,12.7403007571269,568.088211234103
0.46,82.581423432667,12.1501497145579,562.199065148233
0.47,80.8588035629245,11.6990612314457,559.59955525898
0.48,78.1816728379726,11.0946218317517,551.850801341416
0.49,76.6300058117489,10.6956235851189,550.828690662021
0.5,74.0863440971226,10.145240650104,542.93059043982
0.51,72.8143996618743,9.81655646925908,539.286944528601
0.52,70.9961931366823,9.38260917294126,534.92050570606
0.53,69.1718374738129,8.99808359452416,530.305243532721
0.54,67.5639149354641,8.67239534180386,527.685112831481
0.55,64.9805186233438,8.1787687341466,519.51150275634
0.56,63.6507613113091,7.86275195827908,516.248945193813
0.57,62.3975779321365,7.59447736485796,513.263713013786
0.58,60.4726182786469,7.21154034755394,507.767499155036
0.59,59.3479175929681,6.95062719136675,504.354192873517
0.6,57.5849840946597,6.6522861504383,499.1515928397
0.61,55.8980611436164,6.36490595197401,495.57746885644
0.62,54.4519519498653,6.07481446816377,491.721999427332
0.63,53.0407060259384,5.8315927791529,486.756308097962
0.64,51.8212267493673,5.54503073491339,483.369985522414
0.65,50.517885653573,5.35826597250779,478.71453216503
0.66,48.8874969306498,5.0703904985309,473.970678339872
0.67,48.1437664911871,4.93107488133905,471.885105030278
0.68,46.797589761906,4.70854885738295,467.733210982972
0.69,46.0477727979313,4.54812532494829,466.003356019965
0.7,44.4873524478071,4.31957278349923,458.191794062733
0.71,43.199564333503,4.12666740530846,455.05577173198
0.72,42.1459863057326,3.93828814330767,451.620765925382
0.73,41.1767976611393,3.75451287003378,448.918315982961
0.74,40.090985051628,3.64118346266408,444.009720599262
0.75,38.9943080204095,3.47797310477557,439.873765826616
0.76,38.2558049000711,3.35264088478415,436.671165346576
0.77,36.939607939204,3.1716502750837,431.763738748154
0.78,36.3147295068191,3.05899071655226,430.35070266172
0.79,35.4411219459919,2.94871583992628,426.608258083302
0.8,34.1684536944366,2.7863962645935,421.928067435787
0.81,33.3579635081893,2.67794011169155,416.65171907251
0.82,32.6313579006729,2.56815485196449,414.79043618537
0.83,32.040413187124,2.47498674681473,412.496424159746
0.84,31.0452658952774,2.3492192950138,408.237861221047
0.85,30.0163422189369,2.2460109402733,403.1712522618
0.86,29.344636428719,2.14769303349615,399.670233633117
0.87,28.661494125032,2.06809083122005,398.872066244925
0.88,27.8689541780643,1.98977572333593,394.973228150539
0.89,27.2209431446457,1.89167656670452,390.343351127916
0.9,26.4987848139896,1.80991515109015,387.622704780908
0.91,25.7342208862483,1.73002562553805,383.508234486573
0.92,25.1244670432564,1.66936228139785,380.467192049081
0.93,24.6444505874704,1.60282704763372,378.104156372053
0.94,23.8944567798749,1.5262779916255,373.832650771795
0.95,23.2766521496707,1.46212873168787,370.774890938386
0.96,22.9025506906907,1.41560370338581,369.103274224256
0.97,22.1119199731437,1.33703079433578,365.214765404269
0.98,21.5635056336564,1.28154323285069,361.325489064914
0.99,21.0216221989507,1.23488129944056,359.258533414477
1,20.5662668802416,1.18885368660656,356.471345358101
