"harv.p.vec","r.mn.harv","r.mn.lo","r.mn.up"
0,-0.0398711073047112,-0.0411836833804022,-0.0386888487905896
0.01,-0.0404664682354433,-0.0417888476290075,-0.0393399376318172
0.02,-0.0409389385694457,-0.0421966298363859,-0.0400032544196302
0.03,-0.041537883140807,-0.0427033710334207,-0.0404926525461961
0.04,-0.0421566717266462,-0.0433751433347103,-0.0409922303371557
0.05,-0.0428452125254025,-0.0436681187912846,-0.0415900128309158
0.06,-0.0433458621255315,-0.0445698406236273,-0.0421849217041224
0.07,-0.0438004465908623,-0.0454493900333396,-0.0430034644005711
0.08,-0.044431212133656,-0.0457170757708471,-0.0434012876285359
0.09,-0.0450284697499585,-0.0462785684111846,-0.0439990363376844
0.1,-0.0456885263442367,-0.0470695706735569,-0.044631671113345
0.11,-0.0462314711295272,-0.0473406554021824,-0.0452687545042726
0.12,-0.0466133421743789,-0.0479179450949995,-0.0454903898442885
0.13,-0.0474591171701542,-0.0484264081480317,-0.0464574737859728
0.14,-0.0479836637821224,-0.0492366377214922,-0.0470827100206452
0.15,-0.0487416765916019,-0.050043063573361,-0.0474817381965129
0.16,-0.0492393131398968,-0.0501783370484553,-0.0484321751287664
0.17,-0.0497359497413714,-0.0508224636464976,-0.048711059551532
0.18,-0.0502064250928339,-0.051452244387511,-0.0492680971513986
0.19,-0.0511118499099109,-0.052465846223489,-0.0495045380882421
0.2,-0.0516369164485484,-0.0528535028239108,-0.0502251789902524
0.21,-0.052134524034023,-0.0537653418892393,-0.0512097327008508
0.22,-0.0527190890988099,-0.0542272657715227,-0.0513539201798142
0.23,-0.0533743689318396,-0.0548511165624778,-0.0521371287293728
0.24,-0.0541983506823203,-0.0552176834887881,-0.0527291086979666
0.25,-0.0546869943276887,-0.055987477726919,-0.053438988896692
0.26,-0.0550125725976449,-0.0563428316337598,-0.0540145776976799
0.27,-0.0557018817082604,-0.0567502513378109,-0.0545264306486731
0.28,-0.0565128962186358,-0.0574503053349522,-0.0552382178330408
0.29,-0.0568998771541144,-0.0580894461523598,-0.0556901440199269
0.3,-0.0573778457377067,-0.0584943526835735,-0.0559739710831083
0.31,-0.0581364727133425,-0.0596575849138393,-0.0571873775540103
0.32,-0.0587735226839495,-0.0598174238935027,-0.0575814638677886
0.33,-0.0593202686656539,-0.0604552543996836,-0.0581142740452385
0.34,-0.0600258145867892,-0.0610224661870996,-0.0587423005804255
0.35,-0.0605149299626567,-0.0616185260868695,-0.0594032755274662
0.36,-0.0609605205671313,-0.0621749906791314,-0.0596501993134301
0.37,-0.0615525051437242,-0.0627243457328849,-0.0605764500243106
0.38,-0.0621720123046444,-0.0633927397177113,-0.0612225564319267
0.39,-0.0628747772557012,-0.0639074153909838,-0.0614208210520329
0.4,-0.063207294172508,-0.0647036609948113,-0.0621898677771354
0.41,-0.0639389937202838,-0.0652689930810966,-0.0627236008243815
0.42,-0.064712353682753,-0.0660817094889261,-0.0636105398603399
0.43,-0.065020950813621,-0.066417282147197,-0.0635151518441462
0.44,-0.0658150849356351,-0.0667946021315336,-0.0646699268499864
0.45,-0.0662433810941055,-0.0674443665984124,-0.0649712858925256
0.46,-0.0669506337693092,-0.0684129828688122,-0.0655192767032615
0.47,-0.067429417606719,-0.0688868330290974,-0.0659471711619486
0.48,-0.0680571179501999,-0.0694100001922033,-0.0671625664087464
0.49,-0.0687406288769439,-0.0701516925814627,-0.0675430945952613
0.5,-0.0693615673821341,-0.0706842910962035,-0.0682602548838422
0.51,-0.0699684565457737,-0.0710170591490249,-0.0684109611153929
0.52,-0.0705573288492813,-0.0716514226572469,-0.0692792035871377
0.53,-0.0711049069638567,-0.0723763992448289,-0.0698187392882873
0.54,-0.0716482536757658,-0.0727679813960169,-0.0701676981425366
0.55,-0.0724171487726651,-0.0736923799844164,-0.0710516917530325
0.56,-0.0729604648438603,-0.0739828223339716,-0.0713562917106479
0.57,-0.0734093745634351,-0.074502968735252,-0.0722656159179693
0.58,-0.0740671161658184,-0.0754334087108121,-0.0727344428280986
