"yplot.r","r.mn","r.lo","r.up"
2037,0.010252640453277,-0.0137424457200801,0.0418326195299198
2038,0.00806455054940092,-0.0154606542992912,0.0391000801645097
2039,0.011311608573423,-0.0159810439052315,0.0393522667115392
2040,0.00467527845084006,-0.0202844541301533,0.0364776403855101
2041,0.0058129565523006,-0.0198064722625972,0.034514115111241
2042,0.0050839089890521,-0.0202150471276149,0.034844501017525
2043,0.00527418846227412,-0.0204431000149652,0.0331206505281837
2044,0.0038945283892297,-0.0236073816836824,0.035083353525924
2045,0.00291743594804275,-0.0253801268829017,0.0345188631693878
2046,0.00580872035392195,-0.0194975203095757,0.0356353224989536
2047,0.00761711175698869,-0.0181373203727968,0.0353274500443207
2048,0.00359414378933014,-0.019727669973389,0.0374735915545047
2049,0.00419249787124848,-0.0221140774951114,0.0366023064861847
2050,0.00565220096183938,-0.0219141215810956,0.0360393444900757
2051,0.00797250109400631,-0.0174502290453701,0.0346458908750259
2052,0.00717125488159727,-0.0186934381200511,0.0357599510072944
2053,0.00330627505386042,-0.0183385542288682,0.0346260678256163
2054,0.00406584114440494,-0.0211228161547771,0.0354177526371924
2055,0.00418848947957731,-0.0200757139767119,0.0352069538627317
2056,0.00158978830703298,-0.0233257042650765,0.0343857804861048
2057,0.00696937659478364,-0.0206735669714054,0.0359707931446836
2058,0.0046520432493396,-0.0230707077979916,0.0353090761701636
2059,0.00680914396743418,-0.0166089264490035,0.0353162754486572
2060,0.00367304395487266,-0.0228794308476188,0.0345491546875021
2061,0.00373678309198618,-0.0207932104792216,0.0335138823764513
2062,0.0044155171284887,-0.0205024188728579,0.0344022810189148
2063,0.00289717698397365,-0.0242844378771432,0.0353429371541852
2064,0.00542270089501956,-0.0228510566434385,0.0339575216397468
2065,0.00367142721650517,-0.0238512885547933,0.0350836482351287
2066,0.00245565193051662,-0.0219094923900012,0.0347582678552251
2067,0.00385256202638043,-0.019156331578428,0.0353386823247914
2068,0.00538070810712936,-0.0196908369659719,0.0357209521604122
2069,0.00368120859553453,-0.0207387782177711,0.0340949238115724
2070,0.00396190503377924,-0.0224923302482859,0.0349432962908676
2071,0.00290798302338788,-0.0198664741164378,0.0356444219686524
2072,-0.00152312963149389,-0.0293281634210175,0.0340084285273689
2073,0.00200464274342675,-0.025185332796275,0.0361233881438058
2074,0.00203732777337003,-0.025724959582457,0.0351191640546783
2075,0.00445879439935808,-0.0249046578532896,0.0338570657979118
2076,0.004358774411368,-0.0200513188407004,0.0334172087745858
2077,0.00374309975001946,-0.0239138412565779,0.0354751609932011
2078,0.00460645335990965,-0.023411684008389,0.0340631868998872
2079,0.00218578533313164,-0.0214667633568832,0.0338613794818506
2080,0.00308631379478618,-0.0236269993514569,0.0354875882606586
2081,0.00337520438249595,-0.0228124746172543,0.0350187483937232
2082,0.00596001510158299,-0.0207704147459224,0.0354567540620487
2083,0.00218891230867107,-0.0229514126180168,0.0352453903091972
2084,0.00283947852158209,-0.0234148312382291,0.0343497675155171
2085,0.00138532578574906,-0.024918213200712,0.0326941791735862
2086,0.000955313824513702,-0.0269488319153389,0.0329824888567109
2087,0.00339134353758463,-0.0233046666686497,0.0311520945622565
2088,0.00409350753863856,-0.0231936669736834,0.0349058004758602
2089,0.00306726508526963,-0.0245286382100931,0.0350294842915124
2090,0.00284364756449679,-0.0238922417705351,0.0337028289547645
2091,-0.000973104471279471,-0.0246798178191063,0.0315273494530927
2092,0.00201260999973961,-0.0247729160575148,0.0334390661761922
2093,0.00262306312110112,-0.0232021537462449,0.0335589185502344
2094,0.00265003980190109,-0.024377281022957,0.0337367411345674
2095,0.00433213750281749,-0.0225026831459341,0.0335235583653233
2096,0.00324392221998465,-0.0254276992261571,0.0327895441590973
2097,0.00230175373155236,-0.0268639622868844,0.0332092678699724
2098,0.00300051222321424,-0.0235369200075303,0.0323288067462066
