"yplot.r","r.mn","r.lo","r.up"
2037,-0.00990378922367541,-0.0374970168415085,0.0179818260965291
2038,-0.012424978411631,-0.0409245902896873,0.0167793866529379
2039,-0.0150763752752703,-0.0424203582304415,0.0145574416735664
2040,-0.0138924838258231,-0.038563599911462,0.0147591395604288
2041,-0.0187671445364806,-0.0451385017407645,0.0120584846208353
2042,-0.0165016304233055,-0.0473099585236117,0.0109618777541999
2043,-0.0188719900012328,-0.044219850549607,0.012258961619265
2044,-0.0207625897770178,-0.047010703650267,0.0141018662255172
2045,-0.0211085301237385,-0.0485810431040363,0.0146185402470395
2046,-0.0197747003650716,-0.0488143705196618,0.0132800896947815
2047,-0.0150965397026987,-0.0434120611395604,0.0134309162657362
2048,-0.0144620819830735,-0.0398791047121648,0.0128361754632624
2049,-0.0179637723207737,-0.0456632644714786,0.0132124417691621
2050,-0.0163021182613385,-0.0445093112457239,0.0138438321389005
2051,-0.0162368731259661,-0.0452107194450376,0.01307882666077
2052,-0.0177597367306318,-0.047207399458648,0.0131807531990756
2053,-0.018745138006012,-0.0462454941119481,0.0128233599985417
2054,-0.0199582261923131,-0.0467460304654622,0.0120430277475231
2055,-0.0193818654354215,-0.0463482343331489,0.0147868045283901
2056,-0.0162366778934029,-0.040670167815451,0.0137915113024875
2057,-0.0221232955521075,-0.0481420245470349,0.0133716195552801
2058,-0.0162924681605373,-0.0429799093083369,0.0115717725174339
2059,-0.0171007991721929,-0.0465369258836971,0.012335826041654
2060,-0.0185924825123109,-0.0442298803981497,0.0140210482471152
2061,-0.0181609570172691,-0.0450196655236658,0.0149324089706709
2062,-0.01576415495115,-0.0444289372400518,0.0145834193461975
2063,-0.0194161695151969,-0.0500893960707945,0.0137417107817599
2064,-0.0166710745452362,-0.0428161217362955,0.0149071752292626
2065,-0.0163157398760787,-0.0441667393513238,0.0137294146571839
2066,-0.0183071606832371,-0.0434754872127057,0.014266044707005
2067,-0.0166167909627452,-0.0440346377864818,0.011808233846743
2068,-0.0157769674583413,-0.0410253615440152,0.0143573028334778
2069,-0.0151708845779641,-0.0437311674127063,0.0148020012401458
2070,-0.015235450349876,-0.042925988898621,0.0147202157825451
2071,-0.0164158212514776,-0.0428038739211768,0.0139307928562519
2072,-0.0154279375622559,-0.0445148168309681,0.0131630891592236
2073,-0.0120171724964409,-0.0409264085052255,0.0139607574589348
2074,-0.0155579907832517,-0.0417466544842705,0.0136196966764986
2075,-0.0162072785464607,-0.0452615977912896,0.0131816987256018
2076,-0.0158962914588034,-0.0411449604653821,0.0118010000170852
2077,-0.0162939383738369,-0.0416825781292747,0.0137459422489239
2078,-0.0187708357772795,-0.0463744350013607,0.0126675366444876
2079,-0.0171897718569905,-0.0458224537719392,0.014828689652014
2080,-0.0159396832684866,-0.0420206011439505,0.0134349991842752
2081,-0.0175583697574023,-0.0423594984852273,0.0133475912920251
2082,-0.0160393210986288,-0.046032325625195,0.0126367800128175
2083,-0.0144710801263744,-0.042124914744593,0.014250073757049
2084,-0.0189403572347746,-0.044965553767279,0.0131645346221544
2085,-0.0139357557698509,-0.0432187597970514,0.0125487652026632
2086,-0.0176605448448042,-0.0437384656051217,0.0127032204012967
2087,-0.017505450715794,-0.0452873502945862,0.0146481092331638
2088,-0.0170548036576823,-0.0450052151774753,0.0145876387197086
2089,-0.0178614103502164,-0.0455245796537781,0.0109192169976976
2090,-0.0155277555405032,-0.0441206666489466,0.0154907497039171
2091,-0.0152204313103085,-0.0410041917223603,0.0134723926084904
2092,-0.0161460001956984,-0.0467502370656656,0.0132115634144557
2093,-0.0175492541636902,-0.0443841361210167,0.0128394592508763
2094,-0.0176329774809755,-0.0418127016116273,0.0138964926401941
2095,-0.0141678021342305,-0.044045047682598,0.0136499148814934
2096,-0.0172351860508598,-0.044062213114393,0.0158266083572195
2097,-0.0166768254812326,-0.0424310672407228,0.0147525302853616
2098,-0.0155647679876417,-0.0407778435981193,0.0129411522000097
