"yplot.n","n.mn","n.lo","n.up"
2037,1163.19452762371,608.049593253437,1345.92725927034
2038,1153.24872966969,600.34757033183,1348.69904275021
2039,1140.81082638746,590.283279145733,1338.42389076632
2040,1125.29406293084,588.616881951223,1329.87967005108
2041,1111.00739413973,577.421827680977,1320.85883265929
2042,1092.37775044898,564.715572898176,1303.80403425935
2043,1075.83818987064,555.748389329076,1296.88223471718
2044,1058.01578524407,547.976866709892,1280.09636207146
2045,1039.60769344156,520.161453966118,1272.02424008263
2046,1020.54763505719,508.224262926243,1264.39799266051
2047,1003.68787746957,463.42299560559,1253.60265211369
2048,990.564632938383,326.158850389915,1248.09831847269
2049,978.359943504371,319.035228470613,1241.28648348142
2050,962.505528089473,314.141111040121,1221.80841293111
2051,948.775571699589,310.999379543073,1216.35835573394
2052,934.855014258003,305.478499385275,1197.14023149177
2053,920.259842535272,300.043540778784,1189.49790246219
2054,905.816339524004,293.92527969419,1184.79389796833
2055,889.611640215855,288.751418058724,1173.13422832375
2056,875.351444813928,278.983708063588,1162.40824190445
2057,863.309682151927,274.224858922884,1153.17005107951
2058,846.964515668556,269.503730585138,1142.58435822792
2059,834.863397957666,263.399860950618,1131.82793057043
2060,821.856217311396,256.698548764085,1113.47626887936
2061,807.954855847295,255.101134011505,1103.13234433327
2062,795.811858053798,245.987261846309,1092.87918147947
2063,784.756753962171,241.554740436657,1085.72422563947
2064,771.249934166717,240.020514692727,1075.16490718787
2065,759.893055641716,235.810309589814,1069.31304035941
2066,748.719635522756,236.184830853589,1064.52076034566
2067,736.809397468429,232.25899212288,1054.07426786116
2068,725.451796292342,229.684372622726,1040.11528580057
2069,715.471696947097,226.62445054043,1033.42096752637
2070,705.435790780431,221.759045411147,1032.33225876974
2071,696.118598457677,218.337353471412,1020.75588692552
2072,685.636420351517,215.26773700094,1013.13698002883
2073,676.392107152137,212.258377391141,1009.70910812199
2074,668.357592560597,209.931502821721,995.05445016241
2075,658.859588694063,206.674562025673,986.408362635214
2076,649.030413616467,204.906353218321,974.813372414271
2077,639.616970704507,203.882065739802,962.170013924445
2078,630.502757227647,200.248972995758,954.24851037601
2079,620.274898473069,196.104457020834,943.96237347239
2080,610.686208118559,186.089102756021,927.016172809322
2081,601.929351140129,185.178204008216,923.514306931218
2082,592.554646402884,179.899020133922,916.548157035864
2083,583.796137825404,175.622750678075,912.54998011268
2084,576.364710550935,170.277351856085,904.9220440474
2085,566.764591676984,137.572672570758,893.519417063337
2086,559.523207369483,128.015861145159,888.829793435733
2087,550.346075391324,129.088847993542,879.116622965403
2088,542.138140457618,117.021722393598,869.606531813294
2089,534.036609478648,115.671208146059,864.267851188555
2090,524.739035820558,114.728214040712,846.68659377266
2091,517.30132421895,111.854245474394,843.663242558562
2092,510.236738994193,111.770020686057,833.26029796117
2093,503.3761965062,108.342537202513,822.475935770927
2094,496.077940821718,105.64976765604,814.212789853209
2095,488.436999316007,102.637175357783,807.819659608026
2096,481.922909102115,102.084154049883,804.877737933393
2097,474.432230986419,99.9961702203748,790.566384143493
2098,467.670041557085,99.1525740970338,784.689429894312
2099,460.887011831005,98.6238873796868,774.821456725033
