"yplot.n","n.mn","n.lo","n.up"
2037,864.525594772114,224.180902636858,1069.03295599363
2038,828.151998786004,189.630494732992,1039.68823396104
2039,789.486264922273,149.930043756563,1008.91526215939
2040,746.976188026155,115.682608796725,986.387650850486
2041,702.789775802547,84.5266582161292,948.176686789695
2042,654.03382624182,48.4624660656382,909.215034321031
2043,604.790468657924,20.9995072162259,872.117333950554
2044,558.175481234998,13.7894782596167,827.27232335822
2045,511.748734419755,8.03540144245378,778.644506448956
2046,467.194170055678,5.29190725717132,732.471324688502
2047,423.090870329871,3.67783177632012,683.154686177623
2048,381.944589200674,2.61900930945016,645.972457173342
2049,341.339438225683,1.40389455567992,596.109809106348
2050,300.319386496488,0.873103936304068,554.4232951076
2051,259.377872704908,0.515579188426461,513.886303621055
2052,218.121189115464,0.310525640047866,461.998960560517
2053,176.779215025108,0.187899249486254,407.832468035877
2054,137.045839910697,0.114478777242187,352.159010731207
2055,99.4289539082073,0.0253985590884995,298.397951635444
2056,66.6781793836125,0,245.857727043887
2057,40.9588594987079,0,193.38084316481
2058,22.7825041104856,0,139.987395269069
2059,11.7281176054736,0,91.5231728042701
2060,5.76795529560816,0,44.0663957326279
2061,2.90403876881904,0,14.3414380279152
2062,1.55971485250229,0,6.2297722793242
2063,0.89935484522181,0,3.56263324778371
2064,0.496464826862354,0,2.1545823535111
2065,0.282861489519381,0,1.43000614592953
2066,0.164122148490641,0,0.878022396271427
2067,0.0889661370062159,0,0.5277348851128
2068,0.0447993605213489,0,0.298970552540094
2069,0.0201662774477846,0,0.169656590893693
2070,0.00715269037233771,0,0.0834599156891734
2071,0.00215623145608923,0,0.032007278263947
2072,0.000734062234924167,0,0.00869399116512687
2073,0.000217328082192181,0,0
2074,3.55153025006202e-05,0,0
2075,1.02798372673532e-05,0,0
2076,5.98719075855672e-06,0,0
2077,0,0,0
2078,0,0,0
2079,0,0,0
2080,0,0,0
2081,0,0,0
2082,0,0,0
2083,0,0,0
2084,0,0,0
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,0
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,0
2094,0,0,0
2095,0,0,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
2099,0,0,0
