"yplot.n","n.mn","n.lo","n.up"
2037,1628.70618912211,894.759146545282,1877.92616661778
2038,1653.21743947772,909.437931178204,1925.54421285242
2039,1677.37102545569,917.071385280938,1964.38005901026
2040,1697.57391222434,927.231780168094,1999.51428901463
2041,1714.10814753959,934.644045110574,2028.84709690245
2042,1730.04872972912,943.796006731991,2066.11471052681
2043,1741.93746455162,936.649952045613,2093.92831193837
2044,1757.01405461507,933.560031414308,2123.32891177705
2045,1768.69730596186,654.556769883345,2153.09738555981
2046,1783.67102326094,662.702007218158,2180.24943967479
2047,1796.86497383548,652.65884281289,2216.96325026966
2048,1809.9902905193,644.959048949068,2249.65529687012
2049,1824.90880646226,654.680109494411,2287.34800367789
2050,1842.00948013528,662.988592690751,2331.13871206057
2051,1860.36903576224,666.730662185413,2353.2821919659
2052,1877.41998546219,680.801655236479,2374.76426015537
2053,1893.03255157826,676.383840282868,2398.74793914622
2054,1910.11865732388,698.955356498005,2431.16317605118
2055,1921.78539117241,699.70254746235,2452.9077757259
2056,1936.16196829784,713.809582454452,2484.33213984366
2057,1955.26390364331,714.980813848517,2510.83859397903
2058,1962.22295189162,730.908741699105,2540.97642959429
2059,1978.66041541128,734.205139751146,2575.17071925244
2060,1994.24346142107,751.323716408641,2602.1824255952
2061,2004.53910351484,763.618373394855,2622.48199714866
2062,2022.50572611806,766.407987426096,2649.06525340164
2063,2034.00518644221,771.78564566539,2663.27008637579
2064,2043.14041146051,787.968044610175,2699.9128437494
2065,2059.49516351954,795.987668096302,2723.89521084588
2066,2070.45395625671,795.934127383328,2748.63260674485
2067,2085.08555404154,800.771812697335,2781.44523515443
2068,2091.82886320141,801.793263488137,2786.6425979366
2069,2100.99467034177,821.516543045165,2807.40951754745
2070,2113.3022910586,828.632979488054,2822.4735733927
2071,2122.60337452508,832.61135414125,2854.48311645493
2072,2135.29593606463,837.213294028627,2893.66306120523
2073,2146.78097225595,842.862381285054,2897.37832390544
2074,2157.12712675992,859.196950007232,2932.12698342941
2075,2168.13704507114,831.019174708707,2935.11155083938
2076,2181.57162597521,841.004782900839,2941.43132219876
2077,2194.00520318892,861.803741196925,2960.20541353253
2078,2208.38471004822,849.322351556635,2988.27773803467
2079,2216.14965692466,839.889762945131,3007.81956465716
2080,2227.86937499174,847.23246645676,3029.21351646191
2081,2236.43899505553,848.782500401697,3045.75746960067
2082,2251.04981808433,743.911158359294,3071.20530354561
2083,2258.72371933254,741.038243500891,3081.02631199231
2084,2269.85207244836,700.965576274807,3118.63572437647
2085,2273.03229331041,681.997513900657,3116.77772908047
2086,2281.65314111685,683.502664385352,3127.38242652777
2087,2293.65311902818,695.925521710186,3160.37369528684
2088,2303.21613654009,713.681451005964,3164.24044858447
2089,2310.06710312155,720.392632478745,3180.87411904377
2090,2315.42614429483,719.702348931752,3189.49333878703
2091,2317.67660062996,730.331345121342,3206.66227181717
2092,2324.62627956296,739.310836735675,3224.90231044102
2093,2330.5097958879,734.84576798838,3227.76233824156
2094,2339.89920975017,752.079317863455,3241.74907489453
2095,2343.85415771874,748.68506836126,3257.58750425974
2096,2354.16860621128,752.472468105536,3264.37086977835
2097,2364.49519093629,738.793957175374,3281.09355720087
2098,2373.6313077959,756.350339857504,3288.74167258175
2099,2373.65779302667,766.060654274547,3298.66353944168
