"yplot.r","r.mn","r.lo","r.up"
2037,0.0106843551670427,-0.0148506000088225,0.0426752394591409
2038,0.011198258269318,-0.0148288789308288,0.0401020114194411
2039,0.00944173322914815,-0.0193332448495381,0.0379281708459086
2040,0.00685375772763108,-0.0203068827880088,0.0359086690294695
2041,0.00604560329931284,-0.0186678471884065,0.0342219378581688
2042,0.00121650866907117,-0.0246840270174237,0.0353179944106619
2043,0.00121403867848939,-0.0215308788623087,0.0333471101493005
2044,0.00552151023594022,-0.0203220675897214,0.0337246716543704
2045,0.00452871118206977,-0.0237568342214673,0.0358399510521454
2046,0.00418206843878852,-0.0202303910305593,0.0356068132387683
2047,0.00550050344203003,-0.0196036270316381,0.0368713373095595
2048,0.00392300486261778,-0.0218752985815811,0.0364444937745872
2049,0.00478399824609591,-0.0218413806714267,0.0361343602477752
2050,0.00521545071008874,-0.0182040108332789,0.0373986740678325
2051,0.00499917087738879,-0.0219165681028608,0.0373001388886057
2052,0.00315031565170401,-0.0234168286982837,0.0353096439059087
2053,0.00164984796233461,-0.0193929307764427,0.0351992900289818
2054,0.00406436252521333,-0.0198705026240337,0.0339306661422593
2055,0.00567278793613664,-0.0216044819146902,0.0347630759588208
2056,0.00306916926699446,-0.0220698444263614,0.0345544141896644
2057,0.00476426507465097,-0.0204310807318671,0.0359270192305543
2058,0.00651528730492536,-0.0208753607604551,0.034373315241024
2059,0.00596567568643691,-0.019162279329299,0.0352336731090109
2060,0.005064718575237,-0.0224616740162402,0.0341085464908401
2061,0.00620992614747549,-0.021019180822146,0.0358449651618675
2062,0.00377256842264658,-0.0241645516936698,0.0351673547781892
2063,0.00551877826882825,-0.0213072084737836,0.032675972909301
2064,0.000542703885406197,-0.0254188528281107,0.0363635405699603
2065,0.00420303992805829,-0.0226003286500812,0.0359217076846121
2066,0.00509523591848591,-0.0208697391569651,0.0362032244171584
2067,0.00342433736821892,-0.0237235249420503,0.0356615637934124
2068,-0.000479344276112367,-0.031433768610113,0.0337643106715547
2069,0.00590323677253868,-0.0201992333233092,0.0332894191924538
2070,0.00142030595471164,-0.025781098941705,0.0341049146640062
2071,0.003468850742469,-0.0216997005323613,0.035700653706735
2072,0.00290182941267593,-0.0247503474545436,0.0350450545550367
2073,-0.00200611190979137,-0.0296062073396825,0.034838108326862
2074,0.00227744276968056,-0.0235860804140207,0.0352102642722255
2075,0.00202918556871428,-0.02360563643293,0.0348588744988817
2076,0.000735598618431618,-0.0254654315011289,0.0351552296102672
2077,0.00472826347886858,-0.0208504301257575,0.0345555053962552
2078,0.00268705221014428,-0.0255917677819686,0.0338440775987615
2079,0.00258925886687509,-0.0255449470137812,0.0332209232281582
2080,0.00300758915890081,-0.0245388961650667,0.0337634986511299
2081,0.00320352390653468,-0.0240798229418335,0.0346782368931558
2082,0.0030239566681567,-0.024908028439088,0.0333676169468914
2083,0.00484771675128038,-0.0186678182481036,0.0349713376071103
2084,0.000791708386115101,-0.0232357300931483,0.03409991619595
2085,0.00477634616041074,-0.0205657506679844,0.0346244004858128
2086,0.0022520406046548,-0.0237584652074482,0.0336815440108778
2087,0.00337677923052886,-0.0227039501401407,0.0338434119096533
2088,0.00461453079386233,-0.0221730895978094,0.0342514195431567
2089,0.00278327498774715,-0.0258743276615523,0.0345676428518709
2090,0.00072255329889009,-0.0255821964642249,0.0353093946355744
2091,0.00185758188346018,-0.0251673389237753,0.033083421530648
2092,0.000559321113733343,-0.0221920490134757,0.0343156005437506
2093,0.00158604202341275,-0.0263104628768099,0.0342074802582058
2094,0.00341683357772801,-0.0252078847167809,0.0343382355236208
2095,0.00130116697872157,-0.0229906127285262,0.0332453391596901
2096,0.000948327490807462,-0.0266771777254531,0.0345253331464067
2097,0.00184345657752894,-0.0256353583662116,0.0339711509492766
2098,0.00158120119666262,-0.024347687105597,0.0317594503224239
