"yplot.r","r.mn","r.lo","r.up"
2037,-0.0577813909756932,-0.229372946163987,-0.00899284889441818
2038,-0.0655943538375715,-0.29741433225362,-0.012100909605987
2039,-0.0784156068477011,-0.370190252850923,-0.0154704963009098
2040,-0.0903219924429601,-0.459054941195745,-0.0226396368901301
2041,-0.113390105208659,-0.64228816400453,-0.028222580309441
2042,-0.134833557666065,-0.707964687860801,-0.0357671126823439
2043,-0.147473315467976,-0.743892847959415,-0.0404171339750896
2044,-0.153760878622895,-0.723159253626072,-0.0426663139558611
2045,-0.160202025217844,-0.666724066866942,-0.0470751937532085
2046,-0.165811219785481,-0.656969547910576,-0.0506620213037924
2047,-0.167776900056191,-0.624419351375767,-0.0528320154060289
2048,-0.178739330270616,-0.65373946423236,-0.0611476313269621
2049,-0.201043850215604,-0.756960278896529,-0.0679865968009122
2050,-0.22881335786065,-0.833101558246829,-0.0778566772104164
2051,-0.26127296765021,-0.820905303273986,-0.0908420357449638
2052,-0.313740798637487,-0.931263562938997,-0.104654200358908
2053,-0.389590662827434,-1.1923652787302,-0.129565636463856
2054,-0.523976185356616,-1.44590465850471,-0.156988261805338
2055,-0.65869167491889,-1.62403425743475,-0.182016124205306
2056,-0.74265945487347,-1.62742234733176,-0.229987619192973
2057,-0.772487831816127,-1.71469743685711,-0.288724537398373
2058,-0.751093128074706,-1.63898020662194,-0.332782575189795
2059,-0.684595430761933,-1.6002062600669,-0.354605765650134
2060,-0.596613292279101,-1.33765790188519,-0.340077250524776
2061,-0.542390630445942,-1.19251552148609,-0.338694025502725
2062,-0.514873824414231,-1.01495407526877,-0.33689475742342
2063,-0.525835203672306,-1.03735079645771,-0.352822434202909
2064,-0.594875537372616,-1.41152021252738,-0.364868220726594
2065,-0.644647746533809,-1.59921885304005,-0.361384915204572
2066,-0.738783637320396,-1.95594205598954,-0.389255042577003
2067,-0.843743412263969,-2.8014696653285,-0.385771754905015
2068,-0.86022771249281,-2.36124198310698,-0.37229493543749
2069,-0.985335252056568,-3.11456254207519,-0.356359795917403
2070,-1.05640307117891,-4.19117670482469,-0.373222429225168
2071,-0.719361020062652,-1.76004608282585,-0.379825927643754
2072,-0.586833024394538,-1.08446992035948,-0.402624845771349
2073,-0.569436222390317,-0.715606614574227,-0.458763682606917
2074,-0.656863997575627,-0.702999616457154,-0.6107283786941
2075,-0.430730903181355,-0.430730903181355,-0.430730903181355
2076,NA,NA,NA
2077,NA,NA,NA
2078,NA,NA,NA
2079,NA,NA,NA
2080,NA,NA,NA
2081,NA,NA,NA
2082,NA,NA,NA
2083,NA,NA,NA
2084,NA,NA,NA
2085,NA,NA,NA
2086,NA,NA,NA
2087,NA,NA,NA
2088,NA,NA,NA
2089,NA,NA,NA
2090,NA,NA,NA
2091,NA,NA,NA
2092,NA,NA,NA
2093,NA,NA,NA
2094,NA,NA,NA
2095,NA,NA,NA
2096,NA,NA,NA
2097,NA,NA,NA
2098,NA,NA,NA
