"yplot.n","n.mn","n.lo","n.up"
2037,1120.41297749905,441.676346278786,1346.85124753387
2038,1104.53439035919,414.048410681494,1348.78034025524
2039,1089.42266251298,387.705647864843,1345.67332345515
2040,1069.90553987718,360.282684382695,1343.10968808829
2041,1046.48245922892,324.327494088056,1334.7273918179
2042,1020.95295561329,275.258458054332,1322.95688445337
2043,993.00536680113,243.941455759006,1308.70497890977
2044,965.140149513493,205.947912523432,1285.1475798903
2045,936.655734568945,171.019030239015,1265.471804973
2046,911.672558781178,136.469324456686,1261.82632566415
2047,886.807599987766,104.998827327435,1246.68650767511
2048,861.593172536771,75.9399632485435,1239.02366567185
2049,838.691918416152,51.3483879657553,1230.33184602149
2050,815.072442360846,28.0569447398668,1218.33152613404
2051,790.772917341628,9.71201150657671,1209.51315713325
2052,766.57719105705,4.67230951787462,1181.97171009624
2053,741.857773564042,3.07262572343946,1165.96026688861
2054,717.854582141036,1.5368980822903,1150.99108318113
2055,692.708261245582,0.791780796874923,1143.7461654283
2056,669.18586267082,0.359712993811178,1122.58976705884
2057,643.607292065063,0.146215666261072,1100.92910987652
2058,621.036363081308,0.0424393265106862,1091.07736284615
2059,596.357837344664,0.0106278956101077,1079.49335535756
2060,572.617575978397,0,1059.26179139872
2061,547.12550529492,0,1040.7187881877
2062,524.227795306751,0,1012.6696472413
2063,501.899191697284,0,997.652596857072
2064,480.878952081121,0,980.036125324342
2065,458.596868189644,0,957.752675131459
2066,434.870665243015,0,941.296405399529
2067,411.986052822649,0,917.874574124781
2068,390.295815933558,0,890.363622316254
2069,367.775525168812,0,864.036698722685
2070,345.625381888519,0,845.624091867153
2071,323.805083366974,0,818.484373954843
2072,302.123945813873,0,795.718006427653
2073,280.32562089959,0,775.999304980725
2074,258.991357031568,0,751.223778574391
2075,237.604809556482,0,722.310894538365
2076,216.16018571042,0,690.342030009429
2077,196.40878906307,0,671.990237577644
2078,176.909816322649,0,651.703365883668
2079,158.203483311726,0,608.773298533833
2080,140.621975214911,0,581.599989107534
2081,122.853425284595,0,551.732994771987
2082,107.181657889232,0,521.335419462664
2083,92.7977856382446,0,493.70410434713
2084,79.3367026736575,0,470.16227058941
2085,67.2080884453308,0,439.303247239481
2086,56.1371660606808,0,414.129120099036
2087,46.3219105363132,0,381.426261601796
2088,37.7712321969646,0,350.734560709146
2089,30.7248058395977,0,317.091955014861
2090,24.4914346627249,0,289.00008492845
2091,19.4065189544171,0,258.350456835397
2092,15.5260897189317,0,225.453193748298
2093,12.4785301861233,0,184.176318285972
2094,9.96202192421962,0,151.522441870295
2095,8.04242068409246,0,118.817023457403
2096,6.46194577163663,0,82.3115636957278
2097,5.15266004414658,0,48.9623127736288
2098,4.07768000830038,0,20.1405768345882
2099,3.20570785130933,0,6.3650340078531
