"yplot.n","n.mn","n.lo","n.up"
2037,957.230774240107,510.591121352951,1120.91206438572
2038,934.896186576684,495.256965268025,1103.26014128028
2039,911.509534683155,483.264720658771,1082.60637571343
2040,886.401322705943,468.343322485542,1056.38536394466
2041,860.454214804268,457.733597140593,1037.13870308591
2042,832.930671335345,444.761001877401,1014.72552411978
2043,808.060520961692,432.009162745867,990.31098710958
2044,784.036254021313,417.676431734409,971.544771384323
2045,761.920253890738,403.536438661555,945.964185562711
2046,739.015274442721,393.681876978982,930.491185221832
2047,714.332162837508,382.660693910436,906.6520146813
2048,693.257333815415,366.605127654315,884.445858743073
2049,674.010566708863,339.089525151314,868.417856930846
2050,655.412393989906,329.21921808056,850.534309945218
2051,636.015611981353,216.578837837221,832.045571724259
2052,615.788026502332,205.275605221559,814.553431503423
2053,597.817631031906,198.531158044933,799.940506706285
2054,579.717509317022,190.00050012475,776.132679762701
2055,560.055814612144,184.053745969065,757.347995839016
2056,543.502348093846,175.602801067423,738.640909501085
2057,527.593599573159,171.269235688037,719.368013773744
2058,511.507836433264,164.689333892297,704.089197446111
2059,495.804219608665,156.396080163938,687.760016165007
2060,482.836785080464,147.857620467954,670.151978997676
2061,468.965197320649,143.67322435179,652.600988156186
2062,454.617109047527,140.284180424883,637.875621027979
2063,439.880721390282,133.688412116989,623.556868850398
2064,427.004927276657,129.502283467965,608.53334011623
2065,414.775490042805,125.428524586634,592.017138945896
2066,403.291592752888,122.035085658073,577.419434469535
2067,391.200160748441,118.50466926051,567.266210565539
2068,379.680442525139,114.81242722254,554.237081560457
2069,368.201922914095,111.837018905321,540.698794477731
2070,356.58314478887,109.757109704698,531.761471389288
2071,345.67266042787,106.609883776734,515.364164419432
2072,335.22711858379,103.785090023297,507.814165366865
2073,324.770471514072,100.605542245804,493.760069778176
2074,316.042009565279,98.331717043097,482.478254445707
2075,306.394755528902,95.8354781481723,473.031021310207
2076,297.513625721507,93.2661175949765,463.170005986035
2077,289.115675449119,91.2673462534052,451.350730113762
2078,280.182664610814,86.3312371856674,438.496619050412
2079,272.002827244182,83.561698676252,428.395813807753
2080,263.794840706963,81.0521785198994,420.434618217781
2081,257.151200872971,78.8698947969144,410.623221541007
2082,250.138764791629,76.2047015745618,402.35270865191
2083,243.156974061639,75.0466894162483,392.717985190998
2084,236.004020213532,72.5632478277955,384.776143434474
2085,229.331883190229,70.2251348274363,381.086020967855
2086,222.74855765222,67.6872021072457,367.406750029948
2087,215.720389043422,64.8154842150992,355.336980224576
2088,208.625829005414,62.9694740321885,348.858697260558
2089,202.130242185567,57.9557745747106,338.935804178028
2090,196.092842675045,48.4448606617009,333.146384285764
2091,190.644908644829,46.6150914008026,323.336503520599
2092,184.914239993168,41.1080719397229,316.087860901473
2093,180.002667679906,39.1603923140707,309.149194901819
2094,174.810228632682,38.0543175752721,302.104254580296
2095,169.547469055532,35.4522222495755,295.698039475073
2096,164.244109723078,34.1737028425582,287.074961015925
2097,159.328155616189,32.3535425284222,279.75467755609
2098,154.852439719076,31.5861987261539,274.831893563649
2099,150.647427215585,31.0979699798955,269.503677740933
