"yplot.n","n.mn","n.lo","n.up"
2037,610.47691653732,73.4888754985232,791.656431315562
2038,554.033742065104,47.9224880040447,738.225238937952
2039,496.326893038973,29.5960640733702,688.611964238146
2040,437.854614936404,17.6774487470255,629.502273009964
2041,377.228292427682,10.5801640774999,565.084535478742
2042,314.504315644951,4.66599058325639,501.52989879896
2043,251.456139495788,1.76447300668855,430.563283590432
2044,191.700796975733,0.714745123211628,362.670267818767
2045,134.975771321859,0.156369291278607,292.640888694337
2046,84.3563289348726,0.0451788735749687,221.101035237267
2047,45.0362470838495,0.00605226475670572,157.539791426555
2048,21.1650413313509,0,92.5745627533143
2049,9.74326670866035,0,43.9432297006664
2050,4.904502605471,0,16.7900481231887
2051,2.90928067173411,0,7.51007045232776
2052,1.84650421077902,0,4.48082217526234
2053,1.18886762175647,0,2.90276527877189
2054,0.753975187334046,0,1.81490821065702
2055,0.40513442057834,0,1.08077751124856
2056,0.198401736337129,0,0.596071125801142
2057,0.0830859215063421,0,0.306661528740825
2058,0.0287577977007265,0,0.152859263119757
2059,0.00698556392299923,0,0.0709267040255257
2060,0.000719016721058404,0,0.000668745666012132
2061,1.3274572057023e-05,0,0
2062,0,0,0
2063,0,0,0
2064,0,0,0
2065,0,0,0
2066,0,0,0
2067,0,0,0
2068,0,0,0
2069,0,0,0
2070,0,0,0
2071,0,0,0
2072,0,0,0
2073,0,0,0
2074,0,0,0
2075,0,0,0
2076,0,0,0
2077,0,0,0
2078,0,0,0
2079,0,0,0
2080,0,0,0
2081,0,0,0
2082,0,0,0
2083,0,0,0
2084,0,0,0
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,0
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,0
2094,0,0,0
2095,0,0,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
2099,0,0,0
